Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumCatalogPurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Year,Tenure,Customer_Active_Days,Total_Spent,Total_Purchases,Web_Ratio,Store_Ratio,Deal_Ratio,Living_Situation,Education_Level,Total_Children,Is_Parent,Age,Website_Activity,Cluster,Total_PromoAccepted
2,58138.0,0,0,58,635,88,546,172,88,88,10,7,0,0,0,0,0,0,1,2012,663,4718,1617,25,0.32,0.16,0.12,0,0,0,0,68,15,1,0
2,46344.0,1,1,38,11,1,6,2,1,6,1,5,0,0,0,0,0,0,0,2014,113,4168,27,6,0.16666666666666666,0.3333333333333333,0.3333333333333333,0,0,2,1,71,6,0,0
2,71613.0,0,0,26,426,49,127,111,21,42,2,4,0,0,0,0,0,0,0,2013,312,4367,776,21,0.38095238095238093,0.47619047619047616,0.047619047619047616,1,0,0,0,60,12,1,0
2,26646.0,1,0,26,11,4,20,10,3,5,0,6,0,0,0,0,0,0,0,2014,139,4194,53,8,0.25,0.5,0.25,1,0,1,1,41,8,0,0
4,58293.0,1,0,94,173,43,118,46,27,15,3,5,0,0,0,0,0,0,0,2014,161,4216,422,19,0.2631578947368421,0.3157894736842105,0.2631578947368421,1,1,1,1,44,10,0,0
3,62513.0,0,1,16,520,42,98,0,42,14,4,6,0,0,0,0,0,0,0,2013,293,4348,716,22,0.2727272727272727,0.45454545454545453,0.09090909090909091,1,1,1,1,58,12,3,0
2,55635.0,0,1,34,235,65,164,50,49,27,3,6,0,0,0,0,0,0,0,2012,593,4648,590,21,0.3333333333333333,0.3333333333333333,0.19047619047619047,0,0,1,1,54,13,3,0
4,33454.0,1,0,32,76,10,56,3,1,23,0,8,0,0,0,0,0,0,0,2013,417,4472,169,10,0.4,0.4,0.2,1,1,1,1,40,12,2,0
4,30351.0,1,0,19,14,0,24,3,3,2,0,9,0,0,0,0,0,0,1,2013,388,4443,46,6,0.5,0.3333333333333333,0.16666666666666666,1,1,1,1,51,12,2,0
4,5648.0,1,1,68,28,0,6,1,1,13,0,20,1,0,0,0,0,0,0,2014,108,4163,49,2,0.5,0.0,0.5,1,1,2,1,75,21,2,1
1,7500.0,0,0,59,6,16,11,11,1,16,0,8,0,0,0,0,0,0,0,2012,593,4648,61,6,0.3333333333333333,0.5,0.16666666666666666,1,2,0,0,49,10,2,0
2,63033.0,0,0,82,194,61,480,225,112,30,4,2,0,0,0,0,0,0,0,2013,226,4281,1102,16,0.1875,0.5,0.0625,0,0,0,0,66,5,1,0
3,59354.0,1,1,53,233,2,53,3,5,14,1,6,0,0,0,0,0,0,0,2013,226,4281,310,15,0.4,0.3333333333333333,0.2,0,1,2,1,73,12,0,0
2,17323.0,0,0,38,3,14,17,6,1,5,0,8,0,0,0,0,0,0,0,2012,627,4682,46,5,0.2,0.6,0.2,1,0,0,0,38,9,2,0
4,82800.0,0,0,23,1006,22,115,59,68,45,6,3,0,0,1,1,0,0,1,2012,582,4637,1315,26,0.2692307692307692,0.46153846153846156,0.038461538461538464,0,1,0,0,79,10,1,2
2,41850.0,1,1,51,53,5,19,2,13,4,0,8,0,0,0,0,0,0,0,2012,552,4607,96,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0,2,1,45,11,2,0
2,37760.0,0,0,20,84,5,38,150,12,28,1,7,0,0,0,0,0,0,0,2012,667,4722,317,13,0.3076923076923077,0.46153846153846156,0.15384615384615385,1,0,0,0,79,11,2,0
3,76995.0,0,1,91,1012,80,498,0,16,176,4,5,0,0,0,1,0,0,0,2013,458,4513,1782,26,0.4230769230769231,0.34615384615384615,0.07692307692307693,1,1,1,1,76,16,3,1
